route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1-ABY-mjp-1","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-11","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-12","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-13","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-14","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-15","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-2","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-4","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-5","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-6","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-7","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-8","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-9","33","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ART-mjp-1","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-10","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-11","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-12","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-13","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-14","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-15","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-2","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-3","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-4","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-5","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-6","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-7","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-8","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-9","33","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-BAT-mjp-1","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-10","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-11","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-12","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-13","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-14","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-15","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-2","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-3","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-4","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-5","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-6","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-7","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-8","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-9","33","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BDE-mjp-1","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-10","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-11","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-12","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-13","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-14","33","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
